"","X1","chnum","sectnum","text","label","filename"
"1",1,1,1,"periodogram","<U+041F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0430> <U+0432><U+0440><U+0435><U+043C><U+0435><U+043D><U+043D><U+043E><U+0433><U+043E> <U+0440><U+044F><U+0434><U+0430>","ch1-sect01-periodogram.tex"
"2",2,1,2,"trend","<U+0422><U+0440><U+0435><U+043D><U+0434>: <U+0430><U+043D><U+0430><U+043B><U+0438><U+0442><U+0438><U+0447><U+0435><U+0441><U+043A><U+0438><U+0439> <U+0438> <U+0441><U+0442><U+043E><U+0445><U+0430><U+0441><U+0442><U+0438><U+0447><U+0435><U+0441><U+043A><U+0438><U+0439>, <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0430> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>","ch1-sect02-trend.tex"
"3",3,1,3,"seasonal","<U+041F><U+0435><U+0440><U+0438><U+043E><U+0434><U+0438><U+0447><U+0435><U+0441><U+043A><U+0430><U+044F> <U+043A><U+043E><U+043C><U+043F><U+043E><U+043D><U+0435><U+043D><U+0442><U+0430> <U+0438> <U+0435><U+0435> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0430>","ch1-sect03-seasonal.tex"
"4",4,1,4,"noise","<U+0428><U+0443><U+043C> <U+0438> <U+0435><U+0433><U+043E> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0430>","ch1-sect04-noise.tex"
"5",5,1,5,"pgsmooth","<U+041F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0430> <U+043A><U+0430><U+043A> <U+043E><U+0446><U+0435><U+043D><U+043A><U+0430> <U+0441><U+043F><U+0435><U+043A><U+0442><U+0440><U+0430><U+043B><U+044C><U+043D><U+043E><U+0439> <U+043F><U+043B><U+043E><U+0442><U+043D><U+043E><U+0441><U+0442><U+0438>, <U+0440><U+0430><U+0441><U+043F><U+0440><U+0435><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0437><U+043D><U+0430><U+0447><U+0435><U+043D><U+0438><U+0439>, <U+0441><U+0433><U+043B><U+0430><U+0436><U+0438><U+0432><U+0430><U+043D><U+0438><U+0435> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+044B>","ch1-sect05-pgsmooth.tex"
"6",6,1,6,"trextsmooth","<U+0420><U+0430><U+0437><U+043B><U+0438><U+0447><U+0438><U+044F> <U+043C><U+0435><U+0436><U+0434><U+0443> <U+0441><U+0433><U+043B><U+0430><U+0436><U+0438><U+0432><U+0430><U+043D><U+0438><U+0435><U+043C> <U+0438> <U+0432><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435><U+043C> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>","ch1-sect06-trextsmooth.tex"
"7",7,1,7,"linfilter","<U+041B><U+0438><U+043D><U+0435><U+0439><U+043D><U+044B><U+0439> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440>, <U+0438><U+043C><U+043F><U+0443><U+043B><U+044C><U+0441><U+043D><U+0430><U+044F> <U+0445><U+0430><U+0440><U+0430><U+043A><U+0442><U+0435><U+0440><U+0438><U+0441><U+0442><U+0438><U+043A><U+0430>, <U+043F><U+0440><U+0438><U+0447><U+0438><U+043D><U+043D><U+044B><U+0439> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440>, FIR","ch1-sect07-linfilter.tex"
"8",8,1,8,"filtcharcos","<U+0425><U+0430><U+0440><U+0430><U+043A><U+0442><U+0435><U+0440><U+0438><U+0441><U+0442><U+0438><U+043A><U+0438> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440><U+0430> <U+0447><U+0435><U+0440><U+0435><U+0437> <U+0435><U+0433><U+043E> <U+0432><U+043E><U+0437><U+0434><U+0435><U+0439><U+0441><U+0442><U+0432><U+0438><U+0435> <U+043D><U+0430> $\cos(2 \pi \omega n)$ (<U+0438><U+043B><U+0438> <U+043D><U+0430> <U+043A><U+043E><U+043C><U+043F><U+043B><U+0435><U+043A><U+0441><U+043D><U+0443><U+044E> <U+044D><U+043A><U+0441><U+043F><U+043E><U+043D><U+0435><U+043D><U+0442><U+0443>) – <U+0410><U+0427><U+0425>, <U+0424><U+0427><U+0425>","ch1-sect08-filtcharcos.tex"
"9",9,1,9,"acfrollmean","A<U+0427><U+0425> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440><U+0430> <U+0441><U+043A><U+043E><U+043B><U+044C><U+0437><U+044F><U+0449><U+0435><U+0433><U+043E> <U+0441><U+0440><U+0435><U+0434><U+043D><U+0435><U+0433><U+043E>, <U+0437><U+0430><U+0432><U+0438><U+0441><U+0438><U+043C><U+043E><U+0441><U+0442><U+044C> <U+043E><U+0442> <U+0434><U+043B><U+0438><U+043D><U+044B> <U+043E><U+043A><U+043D><U+0430>","ch1-sect09-acfrollmean.tex"
"10",10,1,10,"acfdiff","<U+0410><U+0427><U+0425> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440><U+0430> <U+043F><U+0435><U+0440><U+0435><U+0445><U+043E><U+0434><U+0430> <U+043A> <U+0440><U+0430><U+0437><U+043D><U+043E><U+0441><U+0442><U+044F><U+043C> (<U+0434><U+0438><U+0444><U+0444><U+0435><U+0440><U+0435><U+043D><U+0446><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+044F>)","ch1-sect10-acfdiff.tex"
"11",11,1,11,"tsdelay","<U+0427><U+0442><U+043E> <U+0442><U+0430><U+043A><U+043E><U+0435> <U+0437><U+0430><U+043F><U+0430><U+0437><U+0434><U+044B><U+0432><U+0430><U+043D><U+0438><U+0435> <U+0438> <U+043E><U+0442><U+0447><U+0435><U+0433><U+043E> <U+043E><U+043D><U+043E> <U+043C><U+043E><U+0436><U+0435><U+0442> <U+0432><U+043E><U+0437><U+043D><U+0438><U+043A><U+0430><U+0442><U+044C> (<U+043D><U+0430> <U+043F><U+0440><U+0438><U+043C><U+0435><U+0440><U+0435> <U+0441><U+043A><U+043E><U+043B><U+044C><U+0437><U+044F><U+0449><U+0435><U+0433><U+043E> <U+0441><U+0440><U+0435><U+0434><U+043D><U+0435><U+0433><U+043E>)?","ch1-sect11-tsdelay.tex"
"12",12,1,12,"tsoffset","<U+0421><U+043C><U+0435><U+0449><U+0435><U+043D><U+0438><U+0435> <U+043F><U+0440><U+0438> <U+0441><U+0433><U+043B><U+0430><U+0436><U+0438><U+0432><U+0430><U+043D><U+0438><U+0438> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440><U+043E><U+043C> <U+0441><U+043A><U+043E><U+043B><U+044C><U+0437><U+044F><U+0449><U+0435><U+0433><U+043E> <U+0441><U+0440><U+0435><U+0434><U+043D><U+0435><U+0433><U+043E>","ch1-sect12-tsoffset.tex"
"13",13,1,13,"denoiseflt","<U+0424><U+0438><U+043B><U+044C><U+0442><U+0440> <U+0434><U+043B><U+044F> <U+043F><U+043E><U+0434><U+0430><U+0432><U+043B><U+0435><U+043D><U+0438><U+044F> <U+0448><U+0443><U+043C><U+0430>","ch1-sect13-denoiseflt.tex"
"14",14,1,14,"pgfilt","<U+0421><U+0432><U+044F><U+0437><U+044C> <U+043C><U+0435><U+0436><U+0434><U+0443> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0430><U+043C><U+0438> <U+0440><U+044F><U+0434><U+0430> <U+0434><U+043E> <U+0438> <U+043F><U+043E><U+0441><U+043B><U+0435> <U+043F><U+0440><U+0438><U+043C><U+0435><U+043D><U+0435><U+043D><U+0438><U+044F> <U+0444><U+0438><U+043B><U+044C><U+0442><U+0440><U+0430>","ch1-sect14-pgfilt.tex"
"15",15,1,15,"multaddmodel","<U+041C><U+043E><U+0434><U+0435><U+043B><U+0438> <U+0434><U+0430><U+043D><U+043D><U+044B><U+0445> – <U+0430><U+0434><U+0434><U+0438><U+0442><U+0438><U+0432><U+043D><U+0430><U+044F> <U+0438> <U+043C><U+0443><U+043B><U+044C><U+0442><U+0438><U+043F><U+043B><U+0438><U+043A><U+0430><U+0442><U+0438><U+0432><U+043D><U+0430><U+044F>","ch1-sect15-multaddmodel.tex"
"16",16,1,16,"varstabilizing","<U+041C><U+0435><U+0442><U+043E><U+0434><U+044B> <U+0441><U+0442><U+0430><U+0431><U+0438><U+043B><U+0438><U+0437><U+0430><U+0446><U+0438><U+0438> <U+0434><U+0438><U+0441><U+043F><U+0435><U+0440><U+0441><U+0438><U+0438> <U+0432> <U+0440><U+0430><U+0437><U+043D><U+044B><U+0445> <U+043C><U+043E><U+0434><U+0435><U+043B><U+044F><U+0445>","ch1-sect16-varstabilizing.tex"
"17",17,1,17,"trextseason","<U+0412><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430> <U+0443> <U+0440><U+044F><U+0434><U+0430> <U+0441> <U+0441><U+0435><U+0437><U+043E><U+043D><U+043D><U+043E><U+0441><U+0442><U+044C><U+044E> (<U+0432><U+044B><U+0431><U+043E><U+0440> <U+0434><U+043B><U+0438><U+043D><U+044B> <U+043E><U+043A><U+043D><U+0430> <U+0432> <U+0441><U+043A><U+043E><U+043B><U+044C><U+0437><U+044F><U+0449><U+0435><U+043C> <U+0441><U+0440><U+0435><U+0434><U+043D><U+0435><U+043C>)","ch1-sect17-trextseason.tex"
"18",18,1,18,"fltdiff","<U+041F><U+0435><U+0440><U+0435><U+0445><U+043E><U+0434> <U+043A> <U+0440><U+0430><U+0437><U+043D><U+043E><U+0441><U+0442><U+044F><U+043C> – <U+043F><U+043B><U+044E><U+0441><U+044B> <U+0438> <U+043C><U+0438><U+043D><U+0443><U+0441><U+044B> (<U+0443><U+0441><U+0442><U+0440><U+0430><U+043D><U+0435><U+043D><U+0438><U+0435> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>, <U+043F><U+0440><U+0435><U+0432><U+0440><U+0430><U+0449><U+0435><U+043D><U+0438><U+0435> <U+0440><U+044F><U+0434><U+0430> <U+0432> <U+0441><U+0442><U+0430><U+0446><U+0438><U+043E><U+043D><U+0430><U+0440><U+043D><U+044B><U+0439>, <U+0443><U+0441><U+0438><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0432><U+043A><U+043B><U+0430><U+0434><U+0430> <U+0432><U+044B><U+0441><U+043E><U+043A><U+0438><U+0445> <U+0447><U+0430><U+0441><U+0442><U+043E><U+0442>)","ch1-sect18-fltdiff.tex"
"19",19,1,19,"rollmeanmed","<U+0421><U+043A><U+043E><U+043B><U+044C><U+0437><U+044F><U+0449><U+0435><U+0435> <U+0441><U+0440><U+0435><U+0434><U+043D><U+0435><U+0435> <U+0438> <U+0441><U+043A><U+043E><U+043B><U+044C><U+0437><U+044F><U+0449><U+0430><U+044F> <U+043C><U+0435><U+0434><U+0438><U+0430><U+043D><U+0430>","ch1-sect19-rollmeanmed.tex"
